kernel,matrix,rows,cols,nnz,arith_mean_s,geom_mean_s,bandwidth_GBs,gflops,correctness
spmv_gpu_stride_b128_t1024,bcsstk17.mtx,10974,10974,428650,1.3e-05,1.3e-05,525.4135,64.0373,PASSED
spmv_gpu_stride_b128_t128,bcsstk17.mtx,10974,10974,428650,1.9e-05,1.9e-05,376.0556,45.8335,PASSED
spmv_gpu_stride_b128_t256,bcsstk17.mtx,10974,10974,428650,1.6e-05,1.6e-05,431.8677,52.6359,PASSED
spmv_gpu_stride_b128_t32,bcsstk17.mtx,10974,10974,428650,3.8e-05,3.8e-05,185.2796,22.5818,PASSED
spmv_gpu_stride_b128_t512,bcsstk17.mtx,10974,10974,428650,1.5e-05,1.5e-05,473.8757,57.7558,PASSED
spmv_gpu_stride_b16_t1024,bcsstk17.mtx,10974,10974,428650,3.2e-05,3.2e-05,222.9421,27.1721,PASSED
spmv_gpu_stride_b16_t128,bcsstk17.mtx,10974,10974,428650,6.8e-05,6.8e-05,102.967,12.5496,PASSED
spmv_gpu_stride_b16_t256,bcsstk17.mtx,10974,10974,428650,4.3e-05,4.3e-05,162.5492,19.8114,PASSED
spmv_gpu_stride_b16_t32,bcsstk17.mtx,10974,10974,428650,0.000229,0.000229,30.6597,3.7368,PASSED
spmv_gpu_stride_b16_t512,bcsstk17.mtx,10974,10974,428650,3.4e-05,3.3e-05,209.9526,25.589,PASSED
spmv_gpu_stride_b1_t1024,bcsstk17.mtx,10974,10974,428650,0.000275,0.000275,25.5335,3.112,PASSED
spmv_gpu_stride_b1_t128,bcsstk17.mtx,10974,10974,428650,0.000682,0.000682,10.31,1.2566,PASSED
spmv_gpu_stride_b1_t256,bcsstk17.mtx,10974,10974,428650,0.000442,0.000442,15.9228,1.9407,PASSED
spmv_gpu_stride_b1_t32,bcsstk17.mtx,10974,10974,428650,0.002441,0.002441,2.882,0.3513,PASSED
spmv_gpu_stride_b1_t512,bcsstk17.mtx,10974,10974,428650,0.000398,0.000398,17.6941,2.1565,PASSED
spmv_gpu_stride_b32_t1024,bcsstk17.mtx,10974,10974,428650,2.1e-05,2.1e-05,335.6421,40.908,PASSED
spmv_gpu_stride_b32_t128,bcsstk17.mtx,10974,10974,428650,3.9e-05,3.9e-05,178.3638,21.7389,PASSED
spmv_gpu_stride_b32_t256,bcsstk17.mtx,10974,10974,428650,2.7e-05,2.7e-05,259.5183,31.63,PASSED
spmv_gpu_stride_b32_t32,bcsstk17.mtx,10974,10974,428650,0.000121,0.000121,57.9921,7.0681,PASSED
spmv_gpu_stride_b32_t512,bcsstk17.mtx,10974,10974,428650,2.3e-05,2.3e-05,311.5249,37.9686,PASSED
spmv_gpu_stride_b4_t1024,bcsstk17.mtx,10974,10974,428650,8.5e-05,8.4e-05,83.1978,10.1401,PASSED
spmv_gpu_stride_b4_t128,bcsstk17.mtx,10974,10974,428650,0.000219,0.000219,32.0719,3.9089,PASSED
spmv_gpu_stride_b4_t256,bcsstk17.mtx,10974,10974,428650,0.000129,0.000129,54.6834,6.6648,PASSED
spmv_gpu_stride_b4_t32,bcsstk17.mtx,10974,10974,428650,0.000743,0.000743,9.4728,1.1545,PASSED
spmv_gpu_stride_b4_t512,bcsstk17.mtx,10974,10974,428650,9.5e-05,9.5e-05,73.7189,8.9848,PASSED
spmv_gpu_stride_b64_t1024,bcsstk17.mtx,10974,10974,428650,1.6e-05,1.6e-05,445.2159,54.2628,PASSED
spmv_gpu_stride_b64_t128,bcsstk17.mtx,10974,10974,428650,2.5e-05,2.5e-05,281.5648,34.317,PASSED
spmv_gpu_stride_b64_t256,bcsstk17.mtx,10974,10974,428650,1.9e-05,1.9e-05,363.578,44.3128,PASSED
spmv_gpu_stride_b64_t32,bcsstk17.mtx,10974,10974,428650,6.6e-05,6.6e-05,106.429,12.9715,PASSED
spmv_gpu_stride_b64_t512,bcsstk17.mtx,10974,10974,428650,1.7e-05,1.7e-05,410.5259,50.0348,PASSED
spmv_gpu_stride_b8_t1024,bcsstk17.mtx,10974,10974,428650,5e-05,5e-05,140.1255,17.0785,PASSED
spmv_gpu_stride_b8_t128,bcsstk17.mtx,10974,10974,428650,0.000122,0.000122,57.7872,7.0431,PASSED
spmv_gpu_stride_b8_t256,bcsstk17.mtx,10974,10974,428650,7.3e-05,7.3e-05,95.9224,11.691,PASSED
spmv_gpu_stride_b8_t32,bcsstk17.mtx,10974,10974,428650,0.000418,0.000418,16.8445,2.053,PASSED
spmv_gpu_stride_b8_t512,bcsstk17.mtx,10974,10974,428650,5.3e-05,5.3e-05,132.6438,16.1666,PASSED
