kernel,matrix,rows,cols,nnz,arith_mean_s,geom_mean_s,bandwidth_GBs,gflops,correctness
spmv_gpu_stride_b128_t1024,bcsstk17.mtx,10974,10974,428650,5e-05,5e-05,139.5029,17.0026,PASSED
spmv_gpu_stride_b128_t128,bcsstk17.mtx,10974,10974,428650,6e-05,6e-05,117.2206,14.2868,PASSED
spmv_gpu_stride_b128_t256,bcsstk17.mtx,10974,10974,428650,5.5e-05,5.5e-05,128.8766,15.7074,PASSED
spmv_gpu_stride_b128_t32,bcsstk17.mtx,10974,10974,428650,8.1e-05,8.1e-05,87.1274,10.6191,PASSED
spmv_gpu_stride_b128_t512,bcsstk17.mtx,10974,10974,428650,5.6e-05,5.5e-05,126.7366,15.4466,PASSED
spmv_gpu_stride_b16_t1024,bcsstk17.mtx,10974,10974,428650,9.3e-05,9.3e-05,75.2863,9.1759,PASSED
spmv_gpu_stride_b16_t128,bcsstk17.mtx,10974,10974,428650,0.000159,0.000159,44.2884,5.3979,PASSED
spmv_gpu_stride_b16_t256,bcsstk17.mtx,10974,10974,428650,0.00012,0.00012,58.6704,7.1507,PASSED
spmv_gpu_stride_b16_t32,bcsstk17.mtx,10974,10974,428650,0.000461,0.000461,15.2464,1.8582,PASSED
spmv_gpu_stride_b16_t512,bcsstk17.mtx,10974,10974,428650,0.000102,0.000102,69.1198,8.4243,PASSED
spmv_gpu_stride_b1_t1024,bcsstk17.mtx,10974,10974,428650,0.000716,0.000716,9.8209,1.197,PASSED
spmv_gpu_stride_b1_t128,bcsstk17.mtx,10974,10974,428650,0.001387,0.001387,5.0729,0.6183,PASSED
spmv_gpu_stride_b1_t256,bcsstk17.mtx,10974,10974,428650,0.001006,0.001006,6.9888,0.8518,PASSED
spmv_gpu_stride_b1_t32,bcsstk17.mtx,10974,10974,428650,0.004559,0.004559,1.5429,0.188,PASSED
spmv_gpu_stride_b1_t512,bcsstk17.mtx,10974,10974,428650,0.000919,0.000919,7.6557,0.9331,PASSED
spmv_gpu_stride_b32_t1024,bcsstk17.mtx,10974,10974,428650,6.1e-05,6.1e-05,115.9542,14.1325,PASSED
spmv_gpu_stride_b32_t128,bcsstk17.mtx,10974,10974,428650,9.7e-05,9.7e-05,72.337,8.8164,PASSED
spmv_gpu_stride_b32_t256,bcsstk17.mtx,10974,10974,428650,7.6e-05,7.6e-05,93.0524,11.3412,PASSED
spmv_gpu_stride_b32_t32,bcsstk17.mtx,10974,10974,428650,0.000243,0.000243,28.9836,3.5325,PASSED
spmv_gpu_stride_b32_t512,bcsstk17.mtx,10974,10974,428650,6.9e-05,6.9e-05,101.8252,12.4104,PASSED
spmv_gpu_stride_b4_t1024,bcsstk17.mtx,10974,10974,428650,0.000223,0.000223,31.5445,3.8446,PASSED
spmv_gpu_stride_b4_t128,bcsstk17.mtx,10974,10974,428650,0.000454,0.000454,15.4954,1.8886,PASSED
spmv_gpu_stride_b4_t256,bcsstk17.mtx,10974,10974,428650,0.000307,0.000307,22.9185,2.7933,PASSED
spmv_gpu_stride_b4_t32,bcsstk17.mtx,10974,10974,428650,0.001353,0.001353,5.1992,0.6337,PASSED
spmv_gpu_stride_b4_t512,bcsstk17.mtx,10974,10974,428650,0.000247,0.000247,28.5192,3.4759,PASSED
spmv_gpu_stride_b64_t1024,bcsstk17.mtx,10974,10974,428650,5.7e-05,5.7e-05,123.5899,15.0631,PASSED
spmv_gpu_stride_b64_t128,bcsstk17.mtx,10974,10974,428650,6.9e-05,6.9e-05,101.8554,12.4141,PASSED
spmv_gpu_stride_b64_t256,bcsstk17.mtx,10974,10974,428650,6.4e-05,6.4e-05,109.4158,13.3356,PASSED
spmv_gpu_stride_b64_t32,bcsstk17.mtx,10974,10974,428650,0.000133,0.000133,53.0352,6.4639,PASSED
spmv_gpu_stride_b64_t512,bcsstk17.mtx,10974,10974,428650,6e-05,6e-05,117.8238,14.3603,PASSED
spmv_gpu_stride_b8_t1024,bcsstk17.mtx,10974,10974,428650,0.000126,0.000126,55.9375,6.8176,PASSED
spmv_gpu_stride_b8_t128,bcsstk17.mtx,10974,10974,428650,0.000271,0.000271,25.9958,3.1684,PASSED
spmv_gpu_stride_b8_t256,bcsstk17.mtx,10974,10974,428650,0.000183,0.000183,38.3364,4.6724,PASSED
spmv_gpu_stride_b8_t32,bcsstk17.mtx,10974,10974,428650,0.000797,0.000797,8.8231,1.0754,PASSED
spmv_gpu_stride_b8_t512,bcsstk17.mtx,10974,10974,428650,0.000147,0.000147,47.7952,5.8253,PASSED
